comment,product,label
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Sữa rửa mặt,1
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Tinh dầu,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Mỹ phẩm,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Sữa rửa mặt,1
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Tinh dầu,1
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Kem chống nắng,0
"Kem này không hợp với da tôi, gây kích ứng.",Sách giáo khoa,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Dầu gội,0
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Tinh dầu,0
"Không hài lòng lắm, kem dễ bết dính.",Sữa rửa mặt,1
"Dễ sử dụng và rất tiện lợi, tôi thích sản phẩm này.",Kem chống nắng,0
"Dễ sử dụng và rất tiện lợi, tôi thích sản phẩm này.",Tinh dầu,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Chai xịt khử mùi,0
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Mỹ phẩm,1
"Không hài lòng lắm, kem dễ bết dính.",Dầu gội,1
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Kem chống nắng,1
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Mỹ phẩm,1
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Sách giáo khoa,0
"Không hài lòng lắm, kem dễ bết dính.",Kem chống nắng,1
"Kem này không hợp với da tôi, gây kích ứng.",Chai xịt khử mùi,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Kem chống nắng,1
"Không đúng với miêu tả sản phẩm, tôi sẽ trả lại.",Tinh dầu,0
"Kem này không hợp với da tôi, gây kích ứng.",Sách giáo khoa,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Chai xịt khử mùi,0
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Kem chống nắng,1
"Dễ sử dụng và rất tiện lợi, tôi thích sản phẩm này.",Dầu gội,0
"Không hài lòng lắm, kem dễ bết dính.",Chai xịt khử mùi,1
"Không đúng với miêu tả sản phẩm, tôi sẽ trả lại.",Sách giáo khoa,0
"Hàng bị lỗi, không như mô tả, rất thất vọng.",Kem chống nắng,0
"Kem này không hợp với da tôi, gây kích ứng.",Sữa rửa mặt,0
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Chai xịt khử mùi,1
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Kem chống nắng,1
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Sữa rửa mặt,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Dầu gội,1
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Tinh dầu,1
"Kem này không hợp với da tôi, gây kích ứng.",Mỹ phẩm,0
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Sữa rửa mặt,0
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Tinh dầu,1
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Dầu gội,1
"Hàng bị lỗi, không như mô tả, rất thất vọng.",Mỹ phẩm,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Tinh dầu,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Chai xịt khử mùi,0
"Dễ sử dụng và rất tiện lợi, tôi thích sản phẩm này.",Sách giáo khoa,0
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Kem chống nắng,1
"Không đúng với miêu tả sản phẩm, tôi sẽ trả lại.",Kem chống nắng,0
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Sữa rửa mặt,1
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Kem chống nắng,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Chai xịt khử mùi,1
"Rất hài lòng, sẽ tiếp tục mua những sản phẩm khác của shop.",Tinh dầu,1
"Sản phẩm tuyệt vời, chất lượng tốt, tôi sẽ mua thêm.",Tinh dầu,1
"Không đúng với miêu tả sản phẩm, tôi sẽ trả lại.",Chai xịt khử mùi,0
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Sữa rửa mặt,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Mỹ phẩm,1
"Dùng không hiệu quả, thất vọng với sản phẩm này.",Tinh dầu,0
"Không hài lòng lắm, kem dễ bết dính.",Tinh dầu,1
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Dầu gội,1
"Kem này không hợp với da tôi, gây kích ứng.",Dầu gội,0
"Hàng bị lỗi, không như mô tả, rất thất vọng.",Sữa rửa mặt,0
"Chất lượng sản phẩm tuyệt vời, sẽ giới thiệu cho bạn bè.",Sách giáo khoa,1
"Không hài lòng lắm, kem dễ bết dính.",Tinh dầu,1
"Không hài lòng lắm, kem dễ bết dính.",Kem chống nắng,1
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Chai xịt khử mùi,0
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Mỹ phẩm,0
"Sản phẩm rất xứng đáng với giá tiền, dùng thích lắm.",Sách giáo khoa,0
"Không hài lòng lắm, kem dễ bết dính.",Sữa rửa mặt,1
